participant,item,correct,Test_Time,Interval
1,1,0,AM,Delay
1,2,1,AM,Delay
1,3,0,AM,Delay
1,4,0,AM,Delay
1,5,0,AM,Delay
1,6,1,AM,Delay
1,7,1,AM,Delay
1,8,0,AM,Delay
1,9,1,AM,Delay
1,10,1,AM,Delay
1,11,0,AM,Delay
1,12,0,AM,Delay
1,13,0,AM,Delay
1,14,0,AM,Delay
1,15,0,AM,Delay
1,16,1,AM,Delay
1,17,0,AM,Delay
1,18,0,AM,Delay
1,19,0,AM,Delay
1,20,1,AM,Delay
2,1,1,AM,Delay
2,2,0,AM,Delay
2,3,1,AM,Delay
2,4,1,AM,Delay
2,5,0,AM,Delay
2,6,1,AM,Delay
2,7,0,AM,Delay
2,8,1,AM,Delay
2,9,1,AM,Delay
2,10,0,AM,Delay
2,11,0,AM,Delay
2,12,0,AM,Delay
2,13,0,AM,Delay
2,14,1,AM,Delay
2,15,0,AM,Delay
2,16,0,AM,Delay
2,17,1,AM,Delay
2,18,0,AM,Delay
2,19,1,AM,Delay
2,20,1,AM,Delay
3,1,0,AM,Delay
3,2,0,AM,Delay
3,3,1,AM,Delay
3,4,1,AM,Delay
3,5,0,AM,Delay
3,6,0,AM,Delay
3,7,0,AM,Delay
3,8,0,AM,Delay
3,9,1,AM,Delay
3,10,0,AM,Delay
3,11,0,AM,Delay
3,12,0,AM,Delay
3,13,1,AM,Delay
3,14,1,AM,Delay
3,15,1,AM,Delay
3,16,0,AM,Delay
3,17,1,AM,Delay
3,18,1,AM,Delay
3,19,0,AM,Delay
3,20,0,AM,Delay
4,1,1,AM,Delay
4,2,0,AM,Delay
4,3,1,AM,Delay
4,4,0,AM,Delay
4,5,0,AM,Delay
4,6,1,AM,Delay
4,7,1,AM,Delay
4,8,0,AM,Delay
4,9,0,AM,Delay
4,10,1,AM,Delay
4,11,1,AM,Delay
4,12,0,AM,Delay
4,13,0,AM,Delay
4,14,1,AM,Delay
4,15,1,AM,Delay
4,16,0,AM,Delay
4,17,0,AM,Delay
4,18,0,AM,Delay
4,19,1,AM,Delay
4,20,0,AM,Delay
5,1,0,AM,Delay
5,2,0,AM,Delay
5,3,0,AM,Delay
5,4,1,AM,Delay
5,5,1,AM,Delay
5,6,0,AM,Delay
5,7,0,AM,Delay
5,8,0,AM,Delay
5,9,1,AM,Delay
5,10,1,AM,Delay
5,11,1,AM,Delay
5,12,1,AM,Delay
5,13,0,AM,Delay
5,14,0,AM,Delay
5,15,0,AM,Delay
5,16,1,AM,Delay
5,17,0,AM,Delay
5,18,0,AM,Delay
5,19,0,AM,Delay
5,20,0,AM,Delay
6,1,0,AM,Delay
6,2,0,AM,Delay
6,3,0,AM,Delay
6,4,0,AM,Delay
6,5,0,AM,Delay
6,6,0,AM,Delay
6,7,0,AM,Delay
6,8,1,AM,Delay
6,9,0,AM,Delay
6,10,1,AM,Delay
6,11,0,AM,Delay
6,12,0,AM,Delay
6,13,1,AM,Delay
6,14,1,AM,Delay
6,15,1,AM,Delay
6,16,0,AM,Delay
6,17,0,AM,Delay
6,18,0,AM,Delay
6,19,0,AM,Delay
6,20,0,AM,Delay
7,1,1,AM,Delay
7,2,0,AM,Delay
7,3,1,AM,Delay
7,4,1,AM,Delay
7,5,0,AM,Delay
7,6,1,AM,Delay
7,7,0,AM,Delay
7,8,1,AM,Delay
7,9,1,AM,Delay
7,10,1,AM,Delay
7,11,1,AM,Delay
7,12,0,AM,Delay
7,13,0,AM,Delay
7,14,1,AM,Delay
7,15,0,AM,Delay
7,16,1,AM,Delay
7,17,1,AM,Delay
7,18,1,AM,Delay
7,19,0,AM,Delay
7,20,0,AM,Delay
8,1,0,AM,Delay
8,2,1,AM,Delay
8,3,0,AM,Delay
8,4,0,AM,Delay
8,5,0,AM,Delay
8,6,1,AM,Delay
8,7,1,AM,Delay
8,8,0,AM,Delay
8,9,0,AM,Delay
8,10,0,AM,Delay
8,11,0,AM,Delay
8,12,1,AM,Delay
8,13,1,AM,Delay
8,14,0,AM,Delay
8,15,1,AM,Delay
8,16,0,AM,Delay
8,17,0,AM,Delay
8,18,1,AM,Delay
8,19,0,AM,Delay
8,20,0,AM,Delay
9,1,1,AM,Delay
9,2,1,AM,Delay
9,3,1,AM,Delay
9,4,0,AM,Delay
9,5,0,AM,Delay
9,6,0,AM,Delay
9,7,1,AM,Delay
9,8,1,AM,Delay
9,9,1,AM,Delay
9,10,0,AM,Delay
9,11,1,AM,Delay
9,12,0,AM,Delay
9,13,1,AM,Delay
9,14,0,AM,Delay
9,15,0,AM,Delay
9,16,1,AM,Delay
9,17,1,AM,Delay
9,18,1,AM,Delay
9,19,0,AM,Delay
9,20,1,AM,Delay
10,1,1,AM,Delay
10,2,1,AM,Delay
10,3,1,AM,Delay
10,4,0,AM,Delay
10,5,1,AM,Delay
10,6,0,AM,Delay
10,7,1,AM,Delay
10,8,0,AM,Delay
10,9,0,AM,Delay
10,10,1,AM,Delay
10,11,0,AM,Delay
10,12,0,AM,Delay
10,13,1,AM,Delay
10,14,0,AM,Delay
10,15,1,AM,Delay
10,16,0,AM,Delay
10,17,1,AM,Delay
10,18,1,AM,Delay
10,19,0,AM,Delay
