order,Delay,Test.Time,Prolific.ID,Participant.Private.ID,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,answer,original_response,lure_recalled,intrusions
1,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,window,NA,0,1
2,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,sleep,NA,0,1
3,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,doctor,NA,0,1
4,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,smell,NA,0,1
5,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,chair,NA,0,1
6,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,smoke,smoke,1,1
7,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,sweet,NA,0,1
8,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,rough,NA,0,1
9,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,needle,NA,0,1
10,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,rubbish,NA,0,1
11,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,anger,NA,0,1
12,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,soft,NA,0,1
13,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,city,NA,0,1
14,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,cup,NA,0,1
15,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,cold,NA,0,1
16,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,mountain,NA,0,1
17,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,slow,NA,0,1
18,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,river,NA,0,1
19,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,spider,NA,0,1
20,delay,AM,,7655544,Edge 107.0.1418.42,1536x864,1536x864,foot,NA,0,1
181,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,window,window,1,4
182,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,sleep,sleep,1,4
183,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,doctor,NA,0,4
184,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,smell,NA,0,4
185,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,chair,chair,1,4
186,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,smoke,NA,0,4
187,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,sweet,NA,0,4
188,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,rough,NA,0,4
189,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,needle,NA,0,4
190,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,rubbish,NA,0,4
191,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,anger,NA,0,4
192,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,soft,NA,0,4
193,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,city,NA,0,4
194,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,cup,NA,0,4
195,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,cold,NA,0,4
196,delay,AM,,8029276,Chrome 109.0.0.0,1280x720,1280x720,mountain,NA,0,4
